,class,feature,value
207,Non-seizure,DFA,1.0631958313658527
208,Non-seizure,DFA,0.7343968901818383
209,Non-seizure,DFA,0.8691470188387453
210,Non-seizure,DFA,0.913404812049431
211,Non-seizure,DFA,0.8096197982689621
212,Non-seizure,DFA,0.9511863611631253
213,Non-seizure,DFA,0.8321168704176702
214,Non-seizure,DFA,0.9435531389414904
215,Non-seizure,DFA,0.9362337569004588
216,Non-seizure,DFA,0.8721066737339261
217,Non-seizure,DFA,0.6352518590421268
218,Non-seizure,DFA,1.043547894454054
219,Non-seizure,DFA,0.8123940312263707
220,Non-seizure,DFA,0.9037418609722713
221,Non-seizure,DFA,0.7450364474016047
222,Non-seizure,DFA,1.0666424295725014
223,Non-seizure,DFA,0.9756618869714476
224,Non-seizure,DFA,0.7841072136704227
225,Non-seizure,DFA,0.9374737451399003
226,Non-seizure,DFA,0.8084492518260623
227,Non-seizure,DFA,0.87082901797481
228,Non-seizure,DFA,0.9920933607860064
229,Non-seizure,DFA,1.0749276057128656
230,Non-seizure,DFA,0.7566969238693726
231,Non-seizure,DFA,0.9415724807835665
232,Non-seizure,DFA,0.9983841441460096
233,Non-seizure,DFA,1.0802570094914867
234,Non-seizure,DFA,0.8938503021214563
235,Non-seizure,DFA,1.0008164322964077
236,Non-seizure,DFA,0.968642266097491
237,Non-seizure,DFA,1.0372450321793512
238,Non-seizure,DFA,0.9230314373106577
239,Non-seizure,DFA,0.9274762757490715
240,Non-seizure,DFA,1.1113536782847255
241,Non-seizure,DFA,0.9849805920683318
242,Non-seizure,DFA,0.9815019089544109
243,Non-seizure,DFA,0.9858735852869138
244,Non-seizure,DFA,0.714093197203258
245,Non-seizure,DFA,1.0188728293203455
246,Non-seizure,DFA,0.6974356860362274
247,Non-seizure,DFA,0.7966392201627239
248,Non-seizure,DFA,0.7742712164243292
249,Non-seizure,DFA,0.9758095469663605
250,Non-seizure,DFA,0.8122898402071458
251,Non-seizure,DFA,0.7874027611766834
252,Non-seizure,DFA,0.9343754761429119
253,Non-seizure,DFA,1.049265417294264
254,Non-seizure,DFA,0.8214618388972958
255,Non-seizure,DFA,0.8704184736056965
256,Non-seizure,DFA,0.8474735362261487
257,Non-seizure,DFA,0.9663496876704197
258,Non-seizure,DFA,0.9458196431700999
259,Non-seizure,DFA,0.8593990575677255
260,Non-seizure,DFA,0.6913533173562121
261,Non-seizure,DFA,0.8805067924608162
262,Non-seizure,DFA,0.6857647382889899
263,Non-seizure,DFA,0.7347146439004872
264,Non-seizure,DFA,0.9278509814507776
265,Non-seizure,DFA,1.0124472717610744
266,Non-seizure,DFA,0.9173968347776827
267,Non-seizure,DFA,0.9854463477102013
268,Non-seizure,DFA,0.745948110502697
269,Non-seizure,DFA,0.7191364035059187
270,Non-seizure,DFA,1.023131315122518
271,Non-seizure,DFA,0.7706631162122545
272,Non-seizure,DFA,0.918585919693767
273,Non-seizure,DFA,0.9334095056230218
274,Non-seizure,DFA,0.8577388276016007
275,Non-seizure,DFA,0.9755564622764907
276,Non-seizure,DFA,0.8000485585838156
277,Non-seizure,DFA,1.000364870054639
278,Non-seizure,DFA,0.8871238275333607
279,Non-seizure,DFA,0.8926434224645488
280,Non-seizure,DFA,0.9411512935104085
281,Non-seizure,DFA,0.8837825239351774
282,Non-seizure,DFA,0.9430605472332718
283,Non-seizure,DFA,0.8048002508897303
284,Non-seizure,DFA,0.8578537387294646
285,Non-seizure,DFA,0.7373668149365817
286,Non-seizure,DFA,0.9155894906108607
287,Non-seizure,DFA,0.7194494067543434
288,Non-seizure,DFA,1.0825304879431146
289,Non-seizure,DFA,0.9692237937703406
290,Non-seizure,DFA,0.8652550134400228
291,Non-seizure,DFA,0.9121293444342059
292,Non-seizure,DFA,0.9245644802183043
293,Non-seizure,DFA,0.8261141735905825
294,Non-seizure,DFA,0.9803323347492617
295,Non-seizure,DFA,0.9053895337622395
296,Non-seizure,DFA,0.8415215304423072
297,Non-seizure,DFA,0.6866312371988961
298,Non-seizure,DFA,1.0172496960080013
299,Non-seizure,DFA,1.043921678752764
300,Non-seizure,DFA,0.9820304019592105
301,Non-seizure,DFA,1.1536921832364808
302,Non-seizure,DFA,0.888385589451542
303,Non-seizure,DFA,0.7312979573954488
304,Non-seizure,DFA,0.753977478701329
305,Non-seizure,DFA,0.6779076694443832
306,Non-seizure,DFA,0.8008949154624028
307,Non-seizure,DFA,1.0062975545945108
308,Non-seizure,DFA,1.0120998588204804
309,Non-seizure,DFA,1.1042838518176903
310,Non-seizure,DFA,0.5945171957280159
311,Non-seizure,DFA,0.6412760474472847
312,Non-seizure,DFA,0.7926565061979144
313,Non-seizure,DFA,0.7992008236289786
314,Non-seizure,DFA,0.7367753179627619
315,Non-seizure,DFA,0.7865822551753009
316,Non-seizure,DFA,0.6693596788689095
317,Non-seizure,DFA,0.6751717136437069
318,Non-seizure,DFA,0.527362834859425
319,Non-seizure,DFA,0.9483291882507161
320,Non-seizure,DFA,0.795947256528197
321,Non-seizure,DFA,0.9182750426556359
322,Non-seizure,DFA,0.6853767426721618
323,Non-seizure,DFA,0.683004606089746
324,Non-seizure,DFA,0.8032158763076612
325,Non-seizure,DFA,0.8326016409058475
326,Non-seizure,DFA,1.0173982815385558
327,Non-seizure,DFA,0.6642724055601873
328,Non-seizure,DFA,1.1554611863814552
329,Non-seizure,DFA,1.091312334852686
330,Non-seizure,DFA,0.7386369911294839
331,Non-seizure,DFA,0.9735781265940117
332,Non-seizure,DFA,0.6554705448588086
333,Non-seizure,DFA,0.7821764450306996
334,Non-seizure,DFA,0.6583471658322467
335,Non-seizure,DFA,0.930043783618137
336,Non-seizure,DFA,0.8107451676214122
337,Non-seizure,DFA,0.8716268866572632
338,Non-seizure,DFA,0.8939742025991927
339,Non-seizure,DFA,0.9062365697074902
340,Non-seizure,DFA,0.8976857410960248
341,Non-seizure,DFA,0.8797751849463039
342,Non-seizure,DFA,0.6804276575526289
343,Non-seizure,DFA,0.6423806001066992
344,Non-seizure,DFA,0.8575164718979692
345,Non-seizure,DFA,0.880854536367793
346,Non-seizure,DFA,0.7625369211384524
347,Non-seizure,DFA,0.7283729199443657
348,Non-seizure,DFA,1.0021350545550183
349,Non-seizure,DFA,1.0652138218501042
350,Non-seizure,DFA,0.8934200213222494
351,Non-seizure,DFA,0.7820325442748575
352,Non-seizure,DFA,1.0334990787984504
353,Non-seizure,DFA,0.6619163492193073
354,Non-seizure,DFA,0.8715912611626204
355,Non-seizure,DFA,0.6973905950413921
356,Non-seizure,DFA,0.985495002100194
357,Non-seizure,DFA,0.7300666431917218
358,Non-seizure,DFA,0.7898566787611321
359,Non-seizure,DFA,0.8314509414860929
360,Non-seizure,DFA,1.090258457612242
361,Non-seizure,DFA,1.0065192201885083
362,Non-seizure,DFA,1.001871135011133
363,Non-seizure,DFA,0.9933499320230228
364,Non-seizure,DFA,0.7447587402347069
365,Non-seizure,DFA,0.6056085685936582
366,Non-seizure,DFA,0.8508608327983613
367,Non-seizure,DFA,0.7653867863140397
368,Non-seizure,DFA,0.8669874690104363
369,Non-seizure,DFA,1.0469812766205293
370,Non-seizure,DFA,0.7357962474668616
371,Non-seizure,DFA,0.9223735564118902
372,Non-seizure,DFA,0.7903827279670307
373,Non-seizure,DFA,0.743816605787546
374,Non-seizure,DFA,0.6340106214884065
375,Non-seizure,DFA,1.0173064193663286
376,Non-seizure,DFA,0.7448044189993377
377,Non-seizure,DFA,0.8724008734050449
378,Non-seizure,DFA,1.0567481005003367
379,Non-seizure,DFA,0.7313167475812046
380,Non-seizure,DFA,0.5863950861203417
381,Non-seizure,DFA,0.9169001220528298
382,Non-seizure,DFA,0.814650003222866
383,Non-seizure,DFA,0.9690357664743322
384,Non-seizure,DFA,0.6276903612819296
385,Non-seizure,DFA,0.9107781321692103
386,Non-seizure,DFA,0.7352359730788581
387,Non-seizure,DFA,0.6721623800413984
388,Non-seizure,DFA,0.7290347781071118
389,Non-seizure,DFA,0.8776407506824124
390,Non-seizure,DFA,0.75297689031406
391,Non-seizure,DFA,0.5781670044329236
392,Non-seizure,DFA,1.0794024166244183
393,Non-seizure,DFA,0.6264846190785048
394,Non-seizure,DFA,1.0167780891491751
395,Non-seizure,DFA,0.750835787231
396,Non-seizure,DFA,0.7037166016136838
397,Non-seizure,DFA,0.8301022737731718
398,Non-seizure,DFA,0.7562030047512655
399,Non-seizure,DFA,0.7291112932991118
400,Seizure,DFA,0.4529228310955954
401,Seizure,DFA,0.5580112064839365
402,Seizure,DFA,0.38039665163352704
403,Seizure,DFA,0.2051224318642214
404,Seizure,DFA,0.43773544666386066
405,Seizure,DFA,0.40995587622374424
406,Seizure,DFA,1.0618835370876631
407,Seizure,DFA,0.08957862686475383
408,Seizure,DFA,0.15692282021596043
409,Seizure,DFA,0.3330370779278869
410,Seizure,DFA,0.30130017588626046
411,Seizure,DFA,0.23367945987029534
412,Seizure,DFA,0.07919442508390201
413,Seizure,DFA,0.7313324054012094
414,Seizure,DFA,0.9795798080439342
415,Seizure,DFA,1.1514253131078394
416,Seizure,DFA,0.4833884869400494
417,Seizure,DFA,0.8869451834295963
418,Seizure,DFA,0.3039123191303492
419,Seizure,DFA,0.1726248161325307
420,Seizure,DFA,0.5225914493758445
421,Seizure,DFA,0.36977253920669245
422,Seizure,DFA,0.3994598050259162
423,Seizure,DFA,0.38544456260566
424,Seizure,DFA,0.5647226868637413
425,Seizure,DFA,0.12082357012771604
426,Seizure,DFA,0.3955373053251108
427,Seizure,DFA,0.2864358273408457
428,Seizure,DFA,0.9343276994920087
429,Seizure,DFA,0.3148424753599377
430,Seizure,DFA,0.1480084295782018
431,Seizure,DFA,0.5750626268659853
432,Seizure,DFA,0.3486410634197489
433,Seizure,DFA,0.3701669036450834
434,Seizure,DFA,0.4775494144120939
435,Seizure,DFA,0.23156728124218817
436,Seizure,DFA,0.4495966285593752
437,Seizure,DFA,0.7174498904878364
438,Seizure,DFA,0.2311093165316427
439,Seizure,DFA,0.9236766339789386
440,Seizure,DFA,0.6212438454975366
441,Seizure,DFA,0.16259407239087453
442,Seizure,DFA,0.5519878053277741
443,Seizure,DFA,0.3210152579439769
444,Seizure,DFA,1.0286561144302575
445,Seizure,DFA,0.250642035677202
446,Seizure,DFA,0.40237687477425005
447,Seizure,DFA,0.2672399568398742
448,Seizure,DFA,0.34500900015878744
449,Seizure,DFA,0.1414890148228153
450,Seizure,DFA,0.6322733936391398
451,Seizure,DFA,0.3999915438768271
452,Seizure,DFA,0.8657611387933726
453,Seizure,DFA,0.13146703184772
454,Seizure,DFA,0.5485823875467238
455,Seizure,DFA,0.5146768948024413
456,Seizure,DFA,0.17481260515220556
457,Seizure,DFA,0.3775461195459567
458,Seizure,DFA,0.3270624101686542
459,Seizure,DFA,0.7610298562312079
460,Seizure,DFA,0.1877798681356876
461,Seizure,DFA,0.46651931020484466
462,Seizure,DFA,0.2992103516300981
463,Seizure,DFA,0.6512692999643489
464,Seizure,DFA,0.7720882905317258
465,Seizure,DFA,0.3922335909563527
466,Seizure,DFA,0.30461731200990383
467,Seizure,DFA,0.31219506225255966
468,Seizure,DFA,0.8655450022489544
469,Seizure,DFA,0.14055207793498792
470,Seizure,DFA,0.9379909189287621
471,Seizure,DFA,0.16110121935513966
472,Seizure,DFA,0.3697345193486093
473,Seizure,DFA,0.9600833557288537
474,Seizure,DFA,0.22287298663064598
475,Seizure,DFA,0.4204828718088224
476,Seizure,DFA,0.6306383514436977
477,Seizure,DFA,0.4615434732649936
478,Seizure,DFA,0.27306416617198964
479,Seizure,DFA,0.07118228903538754
480,Seizure,DFA,0.5689001122075594
481,Seizure,DFA,0.12788413170158963
482,Seizure,DFA,0.4311221303290603
483,Seizure,DFA,0.9884608773214437
484,Seizure,DFA,0.39107991266524783
485,Seizure,DFA,0.38642371939741976
486,Seizure,DFA,0.36277571469591857
487,Seizure,DFA,0.2508329707440092
488,Seizure,DFA,0.9266085891343829
489,Seizure,DFA,0.47919151208783795
490,Seizure,DFA,0.25192001536464725
491,Seizure,DFA,0.3747566030968354
492,Seizure,DFA,0.6687176028913204
493,Seizure,DFA,0.1698954883245015
494,Seizure,DFA,0.1306798729553961
495,Seizure,DFA,0.42410637102206983
496,Seizure,DFA,0.10126633779222291
497,Seizure,DFA,0.12190591280065799
498,Seizure,DFA,0.3415611134322449
499,Seizure,DFA,0.25939332944946153
500,Non-seizure,HFD,0.18656258076917046
501,Non-seizure,HFD,0.19370079137378143
502,Non-seizure,HFD,0.17645421331639752
503,Non-seizure,HFD,0.3043436237486078
504,Non-seizure,HFD,0.22162884607583785
505,Non-seizure,HFD,0.2030324830966383
506,Non-seizure,HFD,0.23000363429795856
507,Non-seizure,HFD,0.2177675594102694
508,Non-seizure,HFD,0.2694282799972195
509,Non-seizure,HFD,0.203053818190945
510,Non-seizure,HFD,0.24340143975988426
511,Non-seizure,HFD,0.20930292019129482
512,Non-seizure,HFD,0.20323566606468876
513,Non-seizure,HFD,0.18922066529243264
514,Non-seizure,HFD,0.284721425715894
515,Non-seizure,HFD,0.2357660287662118
516,Non-seizure,HFD,0.256454380609043
517,Non-seizure,HFD,0.25696708360858395
518,Non-seizure,HFD,0.20799526380638217
519,Non-seizure,HFD,0.3002394612050185
520,Non-seizure,HFD,0.2636908868621655
521,Non-seizure,HFD,0.2255760319600171
522,Non-seizure,HFD,0.3161187421495315
523,Non-seizure,HFD,0.42978790738681316
524,Non-seizure,HFD,0.19532129624373581
525,Non-seizure,HFD,0.32618954540925515
526,Non-seizure,HFD,0.3019197173605883
527,Non-seizure,HFD,0.20336433715442223
528,Non-seizure,HFD,0.38055443025624847
529,Non-seizure,HFD,0.4431174993258206
530,Non-seizure,HFD,0.22102190675102046
531,Non-seizure,HFD,0.2713283050984466
532,Non-seizure,HFD,0.34931969592399714
533,Non-seizure,HFD,0.3421431335840835
534,Non-seizure,HFD,0.1641560887913819
535,Non-seizure,HFD,0.22444598630362392
536,Non-seizure,HFD,0.19517095756123978
537,Non-seizure,HFD,0.3081420231298351
538,Non-seizure,HFD,0.17275481775451493
539,Non-seizure,HFD,0.34760625216787894
540,Non-seizure,HFD,0.21716161176786267
541,Non-seizure,HFD,0.30242358856229484
542,Non-seizure,HFD,0.27086971734120946
543,Non-seizure,HFD,0.24074073133807997
544,Non-seizure,HFD,0.24786430756600686
545,Non-seizure,HFD,0.24529030528166756
546,Non-seizure,HFD,0.21507860640770496
547,Non-seizure,HFD,0.19973970296744462
548,Non-seizure,HFD,0.2479351471387109
549,Non-seizure,HFD,0.1899353363808709
550,Non-seizure,HFD,0.289201151567907
551,Non-seizure,HFD,0.2933611535964091
552,Non-seizure,HFD,0.19559345690586288
553,Non-seizure,HFD,0.18735467525253527
554,Non-seizure,HFD,0.24530794515544244
555,Non-seizure,HFD,0.22465922180522804
556,Non-seizure,HFD,0.16677305230611258
557,Non-seizure,HFD,0.35338822717627816
558,Non-seizure,HFD,0.15801499121696228
559,Non-seizure,HFD,0.17431345445589286
560,Non-seizure,HFD,0.23691909599853164
561,Non-seizure,HFD,0.19703462250316345
562,Non-seizure,HFD,0.19801777744439356
563,Non-seizure,HFD,0.27801039780828146
564,Non-seizure,HFD,0.2995392595857254
565,Non-seizure,HFD,0.22079751169074985
566,Non-seizure,HFD,0.19147727846397583
567,Non-seizure,HFD,0.23888023390312418
568,Non-seizure,HFD,0.17806359037681205
569,Non-seizure,HFD,0.21803100581188725
570,Non-seizure,HFD,0.17999837826625323
571,Non-seizure,HFD,0.24773575996918445
572,Non-seizure,HFD,0.2309564356184346
573,Non-seizure,HFD,0.21697307561919185
574,Non-seizure,HFD,0.20243967696591625
575,Non-seizure,HFD,0.22453704093801324
576,Non-seizure,HFD,0.20466375838776743
577,Non-seizure,HFD,0.3011875190444349
578,Non-seizure,HFD,0.2367763238201201
579,Non-seizure,HFD,0.22811081666054947
580,Non-seizure,HFD,0.21208627719799142
581,Non-seizure,HFD,0.2650188843139949
582,Non-seizure,HFD,0.20605917864471743
583,Non-seizure,HFD,0.1965001016576346
584,Non-seizure,HFD,0.26957420467237825
585,Non-seizure,HFD,0.2027146792023542
586,Non-seizure,HFD,0.2600768257127403
587,Non-seizure,HFD,0.24365530772970892
588,Non-seizure,HFD,0.18575425931686232
589,Non-seizure,HFD,0.2594190233268379
590,Non-seizure,HFD,0.22576699447222473
591,Non-seizure,HFD,0.1922668575131278
592,Non-seizure,HFD,0.23014475670590728
593,Non-seizure,HFD,0.1845666939486245
594,Non-seizure,HFD,0.2050963373718528
595,Non-seizure,HFD,0.19071015981301254
596,Non-seizure,HFD,0.20610055467123828
597,Non-seizure,HFD,0.19211713952476597
598,Non-seizure,HFD,0.2325449703412569
599,Non-seizure,HFD,0.2298562504241012
600,Non-seizure,HFD,0.18587486047474905
601,Non-seizure,HFD,0.16379436122387567
602,Non-seizure,HFD,0.15471405445848474
603,Non-seizure,HFD,0.13839574553848943
604,Non-seizure,HFD,0.12529079742046753
605,Non-seizure,HFD,0.19820820631425434
606,Non-seizure,HFD,0.12486406000245082
607,Non-seizure,HFD,0.17079016972335834
608,Non-seizure,HFD,0.13664707653618427
609,Non-seizure,HFD,0.10741897519581552
610,Non-seizure,HFD,0.09819009953511691
611,Non-seizure,HFD,0.19621792975810257
612,Non-seizure,HFD,0.15270702003885175
613,Non-seizure,HFD,0.10569210951584238
614,Non-seizure,HFD,0.10061812378036115
615,Non-seizure,HFD,0.19665778107933804
616,Non-seizure,HFD,0.09886262059427667
617,Non-seizure,HFD,0.23741595585652978
618,Non-seizure,HFD,0.09547980450842498
619,Non-seizure,HFD,0.11182988532331606
620,Non-seizure,HFD,0.12834700377551167
621,Non-seizure,HFD,0.11202716285928424
622,Non-seizure,HFD,0.13127219573220333
623,Non-seizure,HFD,0.09811460193137497
624,Non-seizure,HFD,0.10514933184295133
625,Non-seizure,HFD,0.1354095256435063
626,Non-seizure,HFD,0.09789420418293525
627,Non-seizure,HFD,0.17355060853651952
628,Non-seizure,HFD,0.165186624451003
629,Non-seizure,HFD,0.11618840368355288
630,Non-seizure,HFD,0.1547737260738876
631,Non-seizure,HFD,0.19778392508618584
632,Non-seizure,HFD,0.25920879461725777
633,Non-seizure,HFD,0.1759143236110372
634,Non-seizure,HFD,0.10933426264882755
635,Non-seizure,HFD,0.15765705284703896
636,Non-seizure,HFD,0.10180009079757259
637,Non-seizure,HFD,0.10611757615576879
638,Non-seizure,HFD,0.10809402489920254
639,Non-seizure,HFD,0.12299745850426771
640,Non-seizure,HFD,0.10368999772104258
641,Non-seizure,HFD,0.18013744466745718
642,Non-seizure,HFD,0.17151943262485744
643,Non-seizure,HFD,0.14838684116338377
644,Non-seizure,HFD,0.09292966225698743
645,Non-seizure,HFD,0.10211095087839983
646,Non-seizure,HFD,0.2119587038226528
